id T gl  nm	tnm	ns	tns	LB	HLDA	RLDA	MaxA	Med	DP
bk 5 1  1000	3	1000	3	4.4e+04	0.16	0.15	0.22	0.18	0.023
bk 5 2  2964	15	1495	7.4	1.4e+04	0.58	0.17	1	0.37	0.21
c1 5 1  1000	3	1000	3	8.5e+03	1	0.95	1.1	1	0.042
c1 5 2  21766	1e+02	11025	51	2.7e+03	1.7	0.93	3.3	1.4	0.57
c2 6 1  1000	8.3	1000	8.3	1.3e+04	1.1	0.88	1.1	0.99	0.056
c2 6 2  13389	1.4e+02	6648	69	3.9e+03	1.2	0.81	3.2	1.5	0.45
c2 6 3  20890	2.3e+02	10186	1.1e+02	2.4e+03	1.5	0.86	4.6	1.5	0.56
c3 7 1  1000	19	1000	19	1.9e+04	0.95	0.82	1	0.94	0.057
c3 7 2  10736	2.3e+02	5335	1.1e+02	5.3e+03	2.7	0.82	3.5	1.6	0.4
c3 7 3  10798	2.4e+02	5450	1.2e+02	3.7e+03	3.6	0.84	4.1	1.3	0.4
c4 8 1  1000	42	1000	42	2.7e+04	1	0.9	1.1	1	0.041
c4 8 2  7946	4e+02	3855	2e+02	7.7e+03	1.5	0.91	3.7	1.5	0.35
c4 8 3  8729	4.6e+02	4238	2.2e+02	5e+03	0.98	0.91	4	1.4	0.36
c4 8 4  9595	5.1e+02	4647	2.5e+02	3.5e+03	1.1	0.97	5.3	1.4	0.38
c5 4 1  1000	1.1	1000	1.1	4.5e+03	0.92	0.92	0.94	0.93	0.011
c5 4 2  28994	69	14406	34	1.4e+03	1	0.89	2.9	1.4	0.66
