### Matrizes de demandas e distancias - Karcius - 6 nos

data;

param N     := 6;

param Demandas : 	1 2 3 4 5 6:=
	  1	0.0 0.90 0.62 0.51 0.28 0.52
	  2	0.5 0.00 0.39 0.92 0.26 0.15
	  3	0.4 0.31 0.00 0.34 0.21 0.14
	  4	0.2 0.48 0.34 0.00 0.99 0.36
	  5	0.1 0.44 0.14 0.84 0.00 0.99
	  6	0.4 0.19 0.99 0.75 0.18 0.00
;

param Distancias : 	1  2  3  4  5  6 :=
	  1	0  1  0  0  0  1
	  2	1  0  1  0  1  1
	  3	0  1  0  1  1  0
	  4	0  0  1  0  1  0
	  5	0  1  1  1  0  1
	  6	1  1  0  0  1  0
;

end;
